Month,Governorate,District,Sub-District,Camp name, ,SSID,Total no of families,Total no of individuals,Total no of Females,Total no of Males,Total no of newly arrived families,Total no of newly arrived individuals,Total no of newly arrived families in secondary displacement,Total no of newly arrived individuals in secondary displacement,Total no of families that left the camp ,Total no of individuals that left the camp ,Total no of occupied plots,Total no of uninhabited plots with concrete slabs,Total no of uninhabited plots with concrete slabs and tents,Total no of uninhabited plots with caravan/ RHU,"Total no of children
(0-17 yrs)","Total no of adults
(18-59 yrs)","Total no of elderly
(60 yrs and above)"
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Nasir Camp (AAF01),IQ0102-0019-001,32,135,71,64,0,0,0,0,0,0,46,8,0,0,76,51,8
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Salam Camp (AAF02),IQ0102-0019-002,78,309,186,123,0,0,0,0,0,0,93,13,12,0,172,114,23
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Ikhowa (AAF03),IQ0102-0019-003,5,19,11,8,0,0,0,0,0,0,7,28,0,0,10,9,0
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Hijaj camp (AAF04),IQ0102-0019-004,24,121,66,55,0,0,0,0,0,0,36,4,4,0,67,53,1
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Amal Al-manshood 1 MoDM camp (AAF05),IQ0102-0019-005,63,268,136,132,0,0,0,0,0,0,69,0,0,0,122,134,12
February,Al-Anbar,Al-Falluja,Al-Amirya,,Amriyat Al-Fallujah semi-perminant / UNHCR Halls (Al Qa'at) (AAF07),IQ0102-0019-007,40,171,101,70,0,0,0,0,0,0,61,32,30,0,94,68,9
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Sa'ada camp (AAF08),IQ0102-0019-008,23,118,60,58,0,0,0,0,0,0,31,79,48,79,72,43,3
February,Al-Anbar,Al-Falluja,Al-Amirya,,Caravan 1 camp (AAF11),IQ0102-0019-011,218,801,444,357,0,0,0,0,0,0,216,0,0,0,525,262,14
February,Al-Anbar,Al-Falluja,Al-Amirya,,Amal Manshood 2 (AAF12),IQ0102-0019-012,30,143,82,61,0,0,0,0,0,0,45,10,4,0,73,63,7
February,Al-Anbar,Al-Falluja,Al-Amirya,,Iraq Camp (AAF14),IQ0102-0019-014,67,273,156,117,0,0,0,0,0,0,71,0,0,0,126,133,14
February,Al-Anbar,Al-Falluja,Al-Amirya,,Kiram Al Fallujah Camp (AAF16),IQ0102-0019-016,16,67,36,31,0,0,0,0,0,0,24,46,32,0,33,32,2
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Fallujah 1 (AAF17),IQ0102-0019-017,33,146,85,61,0,0,0,0,0,0,45,15,12,0,65,74,7
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Tahrir (Al Khanjar) (AAF18),IQ0102-0019-018,9,36,22,14,0,0,0,0,0,0,13,79,35,0,14,18,4
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Mateen (AAF19),IQ0102-0019-019,30,142,81,61,0,0,0,0,0,0,43,97,94,67,78,59,5
February,Al-Anbar,Al-Falluja,Al-Amirya,,Fallujah 9 (AAF20),IQ0102-0019-020,10,54,29,25,0,0,0,0,0,0,22,7,3,0,31,20,3
February,Al-Anbar,Al-Falluja,Al-Amirya,,Zoba'a camp (AAF22),IQ0102-0019-022,45,231,113,118,0,0,0,0,0,0,49,0,0,0,115,101,15
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Simood / Ssumud (AAF24),IQ0102-0019-023,67,363,191,172,0,0,0,0,0,0,73,0,0,0,161,184,18
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Anbar (AAF27),IQ0102-0019-027,22,102,57,45,0,0,0,0,0,0,36,21,18,0,50,48,4
February,Al-Anbar,Al-Falluja,Al-Amirya,,Alta'aki (AAF30),IQ0102-0019-030,24,69,47,22,0,0,0,0,0,0,23,0,0,0,18,40,11
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Rayan (AAF31),IQ0102-0019-031,44,174,114,60,0,0,0,0,0,0,44,0,0,0,92,78,4
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Shahuda al Ashwaii (AAF32),IQ0102-0019-032,91,279,157,122,0,0,0,0,0,0,96,0,0,0,179,92,8
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Tahrer 1,IQ0102-0033-003,63,283,145,138,0,0,0,0,1,6,93,231,0,0,155,112,16
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Tahrer 2,IQ0102-0033-004,95,439,224,215,0,0,0,0,0,0,112,239,1,0,247,185,7
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al Tahrer Central,IQ0102-0033-002,143,645,347,298,5,18,0,0,1,3,166,70,0,0,377,245,23
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Qasir 4 - RHU Camp B,IQ0102-0033-006,132,668,367,301,2,8,0,0,1,4,188,2,0,0,372,260,36
February,Al-Anbar,Al-Falluja,Al-Amirya,,Al-Qasir RHU Camp A,IQ0102-0033-005,143,770,375,395,0,0,0,0,3,17,199,5,0,0,455,286,29
February,Baghdad,Al-Mada'in,Al-Wihda,Al-Nabi Younis,,IQ0707-0001,63,314,168,146,0,0,0,0,1,9,95,0,0,15,168,140,6
February,Baghdad,Al-Kadhmiyah,Al-Taji,Al-Ahel,,IQ0701-0002,94,452,257,195,0,0,0,0,0,0,168,102,0,56,255,187,10
February,Baghdad,Al-Risafa,Baghdad Al-Jedeede,Zayona,,IQ0707-0043,110,345,177,168,0,0,0,0,0,0,105,0,0,34,136,175,34
February,Baghdad,Al-Mahmoudiya,Al-Latifya,Latifiya 1,,IQ0706-0004,30,121,54,67,0,0,0,0,4,24,40,0,0,0,78,40,3
February,Baghdad,Al-Mahmoudiya,Al-Latifya,Latifiya 2,,IQ0706-0003,10,56,31,25,0,0,0,0,5,20,11,2,0,0,34,22,0
February,Duhok,Zakho,Al-Sindi,Berseve 1,,IQ0804-0001,1385,7254,3735,3519,0,0,0,0,0,0,1786,212,239,0,3304,3640,310
February,Duhok,Zakho,Al-Sindi,Berseve 2,,IQ0804-0002,1743,8743,4484,4259,6,19,6,19,0,0,1820,0,0,0,4365,4044,334
February,Duhok,Zakho,Al-Sindi,Chamishku,,IQ0804-0003,5069,26429,13601,12828,5,21,0,0,7,23,5000,0,32,0,11145,13965,1319
February,Duhok,Zakho,Al-Sindi,Darkar,,IQ0804-0290,729,3928,1977,1951,0,0,0,0,0,0,801,0,0,0,1956,1797,175
February,Duhok,Al-Amadiya,Sarsink,Dawadia,,IQ0801-0001,626,3203,1683,1520,0,0,0,0,0,0,881,22,0,0,1506,1543,154
February,Ninewa,Aqra,Gerdaseen,Mamilian,,IQ1501-0002,185,950,491,459,0,0,0,0,0,0,216,2784,0,0,495,415,40
February,Duhok,Sumail,Sindi,Kabarto 2,,IQ0803-0003,2653,13645,7031,6614,0,0,0,0,0,0,3000,0,0,0,6514,6517,614
February,Duhok,Sumail,Sindi,Khanke,,IQ0803-0005,2821,15253,7640,7613,0,0,0,0,0,0,3120,0,0,0,6986,7567,700
February,Duhok,Sumail,Al-Selvani,Bajet Kandala,,IQ0803-0001,2050,10588,5444,5144,0,0,0,0,0,0,1522,0,0,0,4938,5146,504
February,Duhok,Sumail,Al-Selvani,Rwanga Community,,IQ0803-0004,2615,14038,7363,6675,0,0,0,0,0,0,3004,0,0,0,6504,6871,663
February,Duhok,Sumail,Sindi,Shariya,,IQ0803-0006,3097,16556,8525,8031,15,56,0,0,10,70,3990,0,10,0,7516,8343,697
February,Duhok,Sumail,Sindi,Kabarto 1,,IQ0803-0002,2585,13481,6890,6591,0,0,0,0,0,0,3000,0,0,0,6294,6620,567
February,Diyala,Khanaqin,Markaz Khanaquin,Al-Wand 1,,IQ1004-0003,608,2662,1286,1376,0,0,0,0,1,6,806,760,0,0,1330,1275,57
February,Diyala,Khanaqin,Markaz Khanaquin,Al-Wand 2,,IQ1004-0004,199,865,413,452,0,0,0,0,0,0,271,241,0,0,435,392,38
February,Diyala,Khanaqin,Qaratu,Qoratu,,IQ1004-0011,196,915,448,467,0,0,0,0,2,9,241,799,28,827,514,373,28
February,Diyala,Baquba,Bahraz,Muskar Saad Camp,,IQ1002-0007,120,559,313,246,0,0,0,0,0,0,171,0,0,0,307,234,18
February,Erbil,Erbil,Markaz Erbil Centre,Baharka,,IQ1102-0001,936,4745,2398,2347,13,74,10,54,15,68,1177,0,0,0,2624,1977,144
February,Erbil,Erbil,Markaz Erbil Centre,Harshm,,IQ1102-0002,288,1477,751,726,0,2,0,0,2,5,299,0,0,0,800,641,36
February,Erbil,Makhmour,Dibaga,Debaga 1,,IQ1107-0007,1726,9168,4730,4438,1,7,0,0,17,84,1772,0,28,0,4943,3925,300
February,Kerbela,Al-Hindiya,Markaz Al-Hindiya,Al-Kawthar Camp,,IQ1203-0001,104,645,328,317,0,0,0,0,0,0,104,0,0,1010,340,287,18
February,Kirkuk,Kirkuk,Laylan,Yahyawa,,IQ1302-0002,381,2044,1049,995,3,17,3,17,0,0,670,0,0,0,1124,848,72
February,Kirkuk,Kirkuk,Laylan,Laylan IDP,,IQ1302-0001,1387,7834,4258,3576,2,7,0,0,21,101,1959,46,0,0,4943,2663,228
February,Ninewa,Al-Shikhan,Markaz Sheikhan,Essian,,IQ1506-0001,2783,14881,7580,7301,14,42,10,25,3,13,3003,0,0,0,6824,7431,626
February,Ninewa,Al-Shikhan,Markaz Sheikhan,Mamrashan,,IQ1506-0003,1726,8765,4550,4215,0,0,0,0,0,0,1827,0,0,11,4138,4222,405
February,Ninewa,Al-Shikhan,Markaz Sheikhan,Sheikhan,,IQ1506-0002,868,4470,2241,2229,1,4,1,4,1,3,1004,2,0,0,2045,2223,202
February,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,Hasansham U2,,IQ1503-0024,971,4472,2516,1956,23,103,12,57,38,176,1254,0,0,0,2920,1456,96
February,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,Hasansham U3,,IQ1503-0030,1244,5697,3145,2552,29,123,8,30,23,106,1553,0,0,0,3354,2192,151
February,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,Khazer M1,,IQ1503-0010,1168,6129,3236,2893,9,36,3,6,31,175,1622,0,0,0,3710,2252,167
February,Ninewa,Al-Hamdaniya,Al-Namroud,As Salamyiah 2,,IQ1503-0027-002,3072,15032,8025,7007,24,109,23,102,29,129,3940,1522,0,0,8807,5768,457
February,Ninewa,Al-Mosul,Al-Qayara,Qayyarah-Jad'ah 1,,IQ1505-0010-001,1182,4571,2520,2051,23,115,23,115,23,112,1326,1033,141,0,1101,3336,134
February,Ninewa,Al-Mosul,Al-Qayara,Qayyarah-Jad'ah 5,,IQ1505-0010-004,4281,17018,9138,7880,74,340,55,215,51,184,5843,1425,232,0,9859,6595,564
February,Ninewa,Al-Mosul,Hamam al Aleel,Hamam Al Alil 2,,IQ1505-0015,2224,10386,5786,4600,45,190,38,159,13,38,2828,1828,0,0,6604,3518,264
February,Salah Al-Din,Tikrit,Um Al-Qura,Al Karamah,,IQ1808-0014-002,187,764,303,461,0,0,0,0,7,27,340,0,0,0,471,261,32
February,Al-Sulaymaniyah,Kalar,Markaz Kalar,Tazade,,IQ0505-0002,259,1220,651,569,1,8,1,8,3,15,329,0,0,632,674,510,36
February,Al-Sulaymaniyah,Al-Sulaymaniyah,Qaradagh,Arbat IDP,,IQ0510-0001,342,1593,827,766,0,0,0,0,7,32,394,0,0,21,918,634,41
February,Al-Sulaymaniyah,Al-Sulaymaniyah,Qaradagh,Ashti IDP,,IQ0510-0002,2066,10059,5170,4889,0,0,0,0,53,246,2220,410,0,0,5788,4019,252
